Date,news,Adj Close
2012-05-11,Punjab plans undertake capital infusion tune Rs 2360 crore maintain financial strength,85.471222
2012-01-11,Dolat Capital bullish Punjab recommended accumulate rating stock target price Rs 1205 March,101.031258
2012-10-31,Buy Punjab says Sudarshan Sukhani s2analyticscom,97.96749100000001
2012-10-30,Lenders engineering construction firm Hindustan Construction Company HCC referred total debt around Rs 7820 crore C,96.700455
2012-10-29,IIFL bullish Punjab recommended market performer rating stock target Rs 1016 March 26 201,100.216347
2012-10-25,According IIFL traders sell Punjab Future Rs 911 stop loss Rs 9315 target Rs 870 April 10 2,106.65111499999999
2012-10-23,On CNBCTV18s show Super Six market gurus Manas Jaiswal manasjaiswalcom Arunesh Madan Augment Investment Shardul Kulkarni Angel Broking,108.60143300000001
2012-10-19,Lenders public private sectors ranked higher two big loan restructuring cases referred Corporate Debt Restructuring CDR cell,109.165306
2012-10-18,Shardul Kulkarni SrTechnical Analyst Angel Broking bullish ICICI,110.33285500000001
2012-10-16,KR Kamath chairman Punjab says sees net interest margins NIM 350 ahead Sudarshan Sukhani s2analyticscom view investor hold long term perspectiveIndias second largest lender terms total business Punjab Wednesday reported 18 yearonyear jump fouPunjab board meeting held May 09 recommended annual dividend Rs 22 per equity share FY 201112Public sector lender Punjab expected report profit tax Rs 1334 crore fourth quarter FY12 growth 11,106.823586
2012-09-10,Ventura recommended hold rating Punjab May 11 2012 research report,91.068382
2012-08-10,Punjab good short says Devangshu Datta Consulting Editor Business Standard,95.698753
2012-05-10,On CNBCTV18s show Super Six market gurus Vishal Malkan CMT wwwmalkansviewcom Manas Jaiswal manasjaiswalcom Nooresh Merani AMSEC Res,86.429375
2012-01-10,On CNBCTV18s show Super Six market gurus Parag Doctor Head Trading Strategies Keynote Capital Manas Jaiwal manasjaiswalcom Arunesh Mad,98.661682
2012-09-28,could move higher current levels says Sudarshan Sukhani s2analyticscom,111.48712900000001
2012-09-27,SP Tulsian sptulsiancom view Arvind UCO SBIThe long wait came end shortstaffed public sector banks The ministry finance department financial services Monday finalized,110.571655
2012-09-26,Advance tax collection top 100 companies grew Rs 33089 crore rise mere 5 annual targetted growth rate 15 lead corpo,110.571655
2012-09-25,Bulls Eye CNBCTV18s popular game show market experts come together dish trading strategies make week exciting,109.264816
2012-09-21,Emkay Global Financial Services come June quarterly earning estimates Banking Financial Services sector According researc,111.082458
2012-09-20,Angel Broking come June quarterly earning estimates banking sector The research firm expects margins come pressure 1Business conglomerate Tata groups investment arm acquired fresh shares least two banks Baroda Andhra increased,105.529991
2012-09-18,Led staterun banks set report increased strains asset quality banking sector set see profits decline 11 Q1 sequeDolat Capital come June quarterly earning estimates banking sector According research firm banks likely post 27 YoY,106.51179499999999
2012-10-09,Prabhudas Lilladher come June quarterly earning estimates banking financial services sector According research firm Q1FY13,105.092171
2012-04-09,Q1 results July 27 2012,104.565559
2012-03-09,Shardul Kulkarni Angel Broking view Punjab State IndiaJitendra Panda Future Capital view may see correctionOn CNBCTV18s show Super Six market gurus Vishal Malkan wwwmalkansviewcom Shardul Kulkarni Angel Broking Arunesh Madan Founder Dir,109.895668
2012-08-29,On CNBCTV18s show Super Six market gurus Vishal Malkan wwwmalkansviewcom Shardul Kulkarni Angel Broking Arunesh Madan Founder Dir,88.381699
2012-08-28,In interview CNBCTV18 Rakesh Sethi ED Punjab said review lending rates deposit rates come According tDevangshu Datta Consulting Editor Business Standard view one short Baroda Punjab Union Vaibhav Agrawal Banking Analyst Angel Broking gives opinion first quarter results banks interview CNBCTV18 Agrawal feelStateowned lender Punjab Banks net profit increased lower expected 1276 yearonyear Rs 1246 crore quarter ended MaVaibhav Agrawal Angel Broking feels Punjab like public sector undertakings reported increase gross,89.668655
2012-08-13,Prabhudas Lilladher bullish Punjab recommended accumulate rating stock target Rs 850 July 27,95.413498
2012-10-08,State India today lowered interest rates domestic term deposits maturity five years 025 850PNB revises rate interest term deposit,105.662674
2012-08-08,Aviation companies owe Rs 40621 crore banks June 2012 outstanding loan countrys largest lender Rs 5000 crore,98.365532
2012-06-08,Public sector Punjab today ruled reduction lending rates wake high inflation increased cost fuPunjab Thursday ruled reduction lending rates wake high inflation increased cost funds,89.734169
2012-02-08,SP Tulsian sptulsiancom positive,112.53492
2012-07-30,The role factoring business yet gain ground India wherein small medium enterprises SMEs struggle get funding support banks,96.932632
2012-07-27,SP Tulsian sptulsiancom expecting bounce back may sharp upmove 58 September series PSU banking stocks like BOBShort Punjab says Sudarshan Sukhani s2analyticscom new lows The chances go much lower Interest rates retail offerings including home auto education personal loans likely see moderation Some banks already slash,94.843002
2012-07-20,Punjab test Rs 800 fourfive months limited downside says SP Tulsian sptulsiancom They highestSP Tulsian sptulsiancom picked Punjab Brigade Enterprises multibaggers day,108.714211
2012-07-19,Stateowned Punjab today slashed interest rates home loan car loans 05,109.284714
2012-07-16,Stateowned Dena today announced reduction interest rates car education loans 2Stateowned Indian reduced interest rates home car loans 05 increase disbursements segmentsGoldman Sachs upgraded Indian banks neutral cautious citing favourable riskreward public sector stock prices gap betw,113.125671
2012-09-07,PFC top picks banking power space says SP Tulsian sptulsiancom,90.650452
2012-02-07,Shares public sector banks power generation companies running past week hopes cabinet close agreeing,112.775894
2012-06-26,SP Tulsian sptulsiancom advice traders enter PFC REC lower levelsMehraboon Irani Nirmal Bang Securities told CNBCTV18 restructuring plan need hour critics may claim onetime sett,103.619476
2012-06-19,Buying opportunity seen HDIL says Sudarshan Sukhani s2analyticscomSP Tulsian sptulsiancom says continuously cement liking sector In last 45 days ACC Ambuja Cement moving,99.433563
2012-06-18,Vijay Mallya owned Kingfisher Airlines failed assure lenders concrete solution repayment debt meeting held Thursday,100.866463
2012-06-13,In bid ensure enough credit agriculture sector government decided give interest subsidy 2 year state owned banks farm,93.42336999999999
2012-12-06,SP Tulsian sptulsiancom says post monsoon things turning good cement stocks In monsoon season cement compa,109.191841
2012-11-06,Biocon likely outperform says Sudarshan Sukhani s2analyticscom It excellent stock willing make new highs,100.50161
2012-05-28,Manoj Murlidharan AVPDerivatives IIFL advice traders short Axis,85.981865
2012-05-17,The debtladen Kingfisher Airlines owes 17 banks Rs 7000 crore pose systemic risk RBI Deputy Governor K C Chakrabarty saiIn CNBCTV18s popular show Bulls Eye Aashish Tater FortuneWizardcom shares trading strategy dayBulls Eye CNBCTV18s popular game show market experts come together dish trading strategies make week exciting,82.562309
2012-05-16,Dolat Capital come September12 quarterly earning estimates financial sector According research firm banks asset quality wAngel Broking come September12 quarterly earning estimates banking sector According research firm banking stocks remained unAll listed companies declare results quarter ending September 30 2012 In interview CNBCTV18 Vaibhav Agrawal Angel BrokSell Punjab says Sudarshan Sukhani s2analyticscom,81.39760600000001
2012-05-14,India move Rs 330 says Shardul Kulkarni Angel BrokingAnanda Bhoumik India Ratings Research however feel likelihood ratings downgrade banks stage He acknowlVijay Sarathi banking analyst Nomura India says PSU banks incremental delinquencies levels Q1 FY13,83.061485
2012-12-05,Motilal Oswal come September quarterly earning estimates Financials sector According research firm banking coverage universeThe State India started reaping benefits retail rate cuts freebies Since cut interest rates last August banking behemothEmkay Global Financial Services come September quarterly earning estimates Banking Financial Services sector According,108.0243
2012-10-05,In weeks Know Your Investment Aditya Damani CFA Director KM Global Financial Services teams moneycontrolcom help investors mak,108.67440800000001
2012-09-05,Sell Sesa Goa says Sudarshan Sukhani s2analyticscomIn interview CNBCTV18 Vaibhav Agrawal Angel Broking analysed Axis second quarter results He also gave preview numbers,88.739944
2012-07-05,Stockanalyst SP Tulsian sptulsiancom explains CNBCTV18 market remain due Nifty advises investors bet Maru,112.196945
2012-04-27,In interview CNBCTV18 Vaibhav Agrawal Angel Broking reviews financial performance various banks second quarter,95.701149
